"iterations","question","value","prob"
1,"Ambiguity/Model Uncertainty",0.261362190823568,0.564971118947404
2,"Ambiguity/Model Uncertainty",0.434258311503348,0.606890054132628
3,"Ambiguity/Model Uncertainty",0.340303547193738,0.584264256293049
4,"Ambiguity/Model Uncertainty",0.585626331679844,0.64236099505699
5,"Ambiguity/Model Uncertainty",0.203997071445456,0.550823140393157
6,"Ambiguity/Model Uncertainty",0.298848441206813,0.574160984590044
7,"Ambiguity/Model Uncertainty",0.503785059131153,0.623348420979935
8,"Ambiguity/Model Uncertainty",0.254334774309795,0.563243147430451
9,"Ambiguity/Model Uncertainty",0.391556379241909,0.596657309702338
10,"Ambiguity/Model Uncertainty",0.2929423647572,0.572716319457257
11,"Ambiguity/Model Uncertainty",0.402073644846312,0.599185773455652
12,"Ambiguity/Model Uncertainty",0.396067935667672,0.597742573884192
13,"Ambiguity/Model Uncertainty",0.320174453622,0.579366767244824
14,"Ambiguity/Model Uncertainty",0.417547831891869,0.602896318929346
15,"Ambiguity/Model Uncertainty",0.367904082091031,0.590952433859478
16,"Ambiguity/Model Uncertainty",0.218581280944517,0.554428785408373
17,"Ambiguity/Model Uncertainty",0.493027188139198,0.62081930077613
18,"Ambiguity/Model Uncertainty",0.411101260213968,0.601351910969052
19,"Ambiguity/Model Uncertainty",0.239404348174985,0.559566855021593
20,"Ambiguity/Model Uncertainty",0.380255330101032,0.593934683973489
21,"Ambiguity/Model Uncertainty",0.470702010431839,0.615549899381064
22,"Ambiguity/Model Uncertainty",0.314631050344461,0.578015243628823
23,"Ambiguity/Model Uncertainty",0.363962026944149,0.589999189572524
24,"Ambiguity/Model Uncertainty",0.332326498174214,0.582325341776505
25,"Ambiguity/Model Uncertainty",0.367770374427428,0.590920112626518
26,"Ambiguity/Model Uncertainty",0.445476666100018,0.609563234127529
27,"Ambiguity/Model Uncertainty",0.438831473082822,0.607980558977425
28,"Ambiguity/Model Uncertainty",0.442847006116203,0.608937205832168
29,"Ambiguity/Model Uncertainty",0.352461692706817,0.587214405425838
30,"Ambiguity/Model Uncertainty",0.398769673999331,0.598392025211921
31,"Ambiguity/Model Uncertainty",0.40974076436017,0.601025717376375
32,"Ambiguity/Model Uncertainty",0.28240493636499,0.570135727248382
33,"Ambiguity/Model Uncertainty",0.385378007463344,0.595169555301596
34,"Ambiguity/Model Uncertainty",0.396646716437293,0.597881731754157
35,"Ambiguity/Model Uncertainty",0.294158226184978,0.573013829408188
36,"Ambiguity/Model Uncertainty",0.193386443234286,0.548196498690206
37,"Ambiguity/Model Uncertainty",0.348063664678918,0.586147944025333
38,"Ambiguity/Model Uncertainty",0.383719717968373,0.594769939485595
